start_phone,end_phone,num
13436353133,15741716221,413
15590152695,15787653029,315
15909707589,18037575121,853
13789346560,15855743311,918
14561951713,15295282751,249
15932214135,18068259303,927
14531559286,15717511024,250
18257994450,18837174647,990
15692331247,13210268224,780
13610129320,18611903648,526
15049920518,13312963866,287
18670736330,18647904899,790
13544207002,14531559286,918
18017981241,15273752773,684
15023822740,13002515450,591
18043545730,13369792095,416
13119752375,15692331247,704
15636529240,13860818350,456
13040221109,13610129320,143
13540308927,15230746781,603
13049331963,15049920518,213
15669512775,13863071141,244
18661894560,15015888595,214
18273075628,13476587049,773
15781329899,18147884764,157
13418542296,15279150616,393
18077607100,15856547842,604
18993688737,18017981241,652
13505992597,15171803763,640
13759055866,13595284695,455
13623915315,18043545730,367
13269628227,15004208987,150
18158461593,13119752375,431
13122863561,15712726436,609
13264652208,15636529240,626
13629829894,15636529240,438
18840289780,13040221109,778
15232055316,13215870738,529
13479712027,13540308927,235
14545457532,15090169353,772
13242866564,15067948213,848
13372534823,15553760407,277
18765406181,15669512775,635
14793619515,15993403376,415
15985643292,18661894560,177
18560214514,13143750897,182
15026993427,13793884991,160
13529318072,13994124145,113
14704323782,15781329899,389
18040777826,13950538763,989
13772561411,15049862712,166
14517021041,13254722580,697
18069247055,13593979857,353
15525618547,18222625273,492
18206143652,18993688737,705
18799664526,18786958073,598
15173627840,13505992597,482
15876246442,18190378330,365
15663506528,18026295558,798
18570546027,13702601124,628
18570546027,18816004256,628
18570546027,13383127504,628
18816004256,13623915315,891
13383127504,15662049617,291
15836654920,18816004256,292
15869265227,13029688867,252
13985489049,18158461593,261
15803414733,18150858366,728
13715509389,15685735303,126
18947463762,15618958424,986
14555236238,13017677314,149
18961597340,13264652208,405
15607761183,15709885661,208
15340021766,18206674078,744
14715672363,18840289780,644
15358829909,13417191238,113
18051854905,15232055316,274
15544703231,15232055316,618
18977788986,13479712027,383
18963316223,15300823596,505
13450188912,18979378094,604
13391380426,13743637393,664
15915230313,13242866564,920
13098772956,13838860536,738
15549316297,15992289523,929
15611431017,18961455051,478
13279355649,18765406181,752
14542768810,18765406181,356
18202037654,14793619515,842
13125635419,14505948663,232
13104589313,13856083776,639
18553003617,18872869972,607
13101416759,18560214514,202
14757010447,15759514117,857
18532117284,15895026545,125
15285891316,15624730056,913
18601877425,13129009278,567
13193651094,13529318072,961
13422066398,14704323782,862
14590176860,13503020899,774
18033079703,13018661894,772
13624669869,18074687884,839
13349423489,13788788759,118
18510471687,14507407375,547
15672192535,18242772233,457
15510937734,14563846876,351
13041617256,13462788313,368
15118800714,15936780564,811
18808932005,14519591701,664
13517082213,15255348413,578
13425860179,18933875716,986
18085614192,13040180682,922
13770188669,14714619993,603
18221168281,13405125848,161
15022832250,15173627840,797
13594755204,18257199219,936
15343268996,15876246442,402
18749835797,15860805980,524
15578187969,13285049130,709
18642207601,18241161981,921
13244068984,13942123296,661
14738692037,13544248948,453
15352581757,18816004256,347
18838547261,13815870265,355
18783326457,13963638350,133
18953637956,13383127504,482
13238271296,15587184967,724
18728565496,18200750520,634
13147173675,15869265227,903
14555569174,13966975193,487
18920756775,18093841226,140
15047478388,13676729170,969
18749064038,15803414733,646
13379055273,18875641088,205
15275912274,13715509389,673
15699421965,15716322477,763
13773829616,18947463762,961
13910234391,18947463762,955
15004483197,15228215215,407
18902819915,15256725926,318
15026204126,18875769430,204
15922709709,18918865084,476
15062020960,13953126586,729
15695998690,18187245368,924
15834714621,15340021766,940
15748185193,18818362268,790
18940646405,18905183103,582
14733821299,14715672363,953
18611665718,18582416263,126
13890451426,15885483386,686
15502354247,18209414065,840
13172854951,13316133393,336
13983211186,15615269993,775
13691759800,18051455498,565
15229840467,18977788986,790
15825059493,18824700405,872
13356727279,18963316223,304
14774021268,18963316223,350
13676382888,13450188912,256
13806245060,13315868123,651
18852420059,13833395574,587
18041660094,18097575727,451
15271386492,18841591829,294
18610194274,13339221189,266
15629187223,13098772956,786
15701203066,13666437543,704
18016921228,15549316297,536
18155948498,15943862091,721
18543509941,13400818834,498
15524126271,18770181140,521
15895330916,15307912127,475
18169034809,14557597932,273
13831628211,14542768810,425
13695224343,15518469562,902
13878401515,18202037654,146
15879593923,18835093917,557
13461425911,13445614329,735
15987005033,14578455868,401
13173079571,13010213934,562
15357893528,15552732053,838
15795377083,18553003617,633
18916960899,18987148448,518
15215284696,13101416759,657
15348223113,15918552528,882
14544148152,15855597842,867
15144200437,15069174967,228
18004431317,15524145228,166
15392820655,13751059864,561
13927490211,15285891316,726
13794186320,15952542728,605
13462739515,15525786201,525
18065364740,15270568680,113
13121508325,18957210128,626
13002409813,14729861632,724
13696050124,13422066398,184
15825836879,13101020366,753
15792986396,18008640518,929
15603563540,18914369462,623
18026084899,18033079703,884
15384146554,13432299180,770
13250932868,13624669869,794
13512958829,13380521915,385
13076859951,13349423489,741
15030264292,13349423489,998
13234996284,15847422117,465
15944911617,15928396616,675
