sfzh,phone,start_time,end_time
341802197708255621,13493352787,1426521600,1527264000
451122200101184609,13493352787,1507046400,1539705600
341802197708255621,15340734910,1430323200,1536940800
65010619530901066X,15340734910,1474041600,1538150400
230230198610248926,13678354750,1441728000,1537804800
450502196005251257,13678354750,1499011200,1523894400
230230198610248926,13025173941,1441814400,1574870400
451021198302140387,13025173941,1473264000,1563465600
361027194207182077,18003837885,1432310400,1574179200
230227194001305597,18003837885,1463932800,1534780800
361027194207182077,13682843773,1489852800,1558886400
520501199206120910,13682843773,1444060800,1523808000
150626194104151282,13878810751,1506009600,1520092800
130303194305055962,13878810751,1422720000,1519660800
150626194104151282,13218237220,1473177600,1559404800
140200193203296549,13218237220,1514476800,1563984000
513326196701156084,15118691019,1503417600,1553529600
360821196106289063,15118691019,1468771200,1574006400
513326196701156084,13907722360,1422806400,1528300800
35092119441009605X,13907722360,1507996800,1559491200
530400195705317648,18677678846,1437926400,1564502400
441622194604246311,18677678846,1459872000,1535040000
530400195705317648,15721893837,1455465600,1545062400
411321199308281731,15721893837,1478188800,1571068800
370125194811154754,13143178003,1464019200,1571760000
370124195910213295,13143178003,1470499200,1552752000
370125194811154754,18691419434,1476806400,1571846400
360701194801148449,18691419434,1460131200,1541520000
431322197504202245,14784511293,1461600000,1572192000
440307195307140434,14784511293,1499616000,1542211200
431322197504202245,14550187484,1446393600,1562947200
230223194206256404,14550187484,1490716800,1557072000
41160119840301323X,13689322440,1438617600,1525536000
653226195611044266,13689322440,1438531200,1574438400
41160119840301323X,13996128096,1440345600,1556985600
511827195307101584,13996128096,1477756800,1566489600
411522197608141691,14570307070,1492099200,1550592000
152922196903152021,14570307070,1485187200,1552233600
411522197608141691,13099945820,1512403200,1529510400
320381194804236615,13099945820,1492444800,1524412800
45102419641215152X,13386252362,1470931200,1554220800
411729199404050653,13386252362,1482940800,1536940800
45102419641215152X,18549417580,1474819200,1544716800
51152319670729711X,18549417580,1450886400,1538841600
150525195210232388,15855794949,1441641600,1572537600
330781195502210303,15855794949,1429632000,1560873600
150525195210232388,18776688052,1477584000,1539792000
320623194112151250,18776688052,1425225600,1535040000
370686199112209990,15286433983,1422288000,1514908800
340104194104060794,15286433983,1513526400,1577289600
370686199112209990,13047116467,1443974400,1534003200
445222199002197764,13047116467,1433520000,1573747200
230800198012134579,15886236753,1468598400,1541520000
420103197907310715,15886236753,1476547200,1518364800
230800198012134579,15291402063,1423497600,1533484800
530900195105183057,15291402063,1484409600,1535731200
51112619770801040X,18202171629,1439740800,1541347200
411525194005061575,18202171629,1511971200,1560960000
51112619770801040X,18294980258,1498838400,1532534400
450109197407084049,18294980258,1462896000,1534435200
44140119890626086X,18690583989,1501084800,1521907200
320621194510227529,18690583989,1448208000,1552838400
44140119890626086X,13217551485,1429027200,1549987200
140222198108218770,13217551485,1475251200,1562083200
150602193502033681,18285072708,1513440000,1537977600
610111197607212043,18285072708,1485273600,1554825600
150602193502033681,13467193730,1445097600,1540137600
150724197606271862,13467193730,1476720000,1548000000
120000197809081503,13463109747,1478275200,1524499200
513334197808204466,13463109747,1424188800,1519142400
120000197809081503,15539744561,1479312000,1566230400
360103193905302346,15539744561,1462464000,1571932800
622921195705146781,18078153722,1423756800,1544976000
37152520011205021X,18078153722,1487865600,1556899200
622921195705146781,15051391194,1467129600,1529164800
44052319730722868X,15051391194,1474905600,1574006400
620000197708244236,13254762952,1475251200,1557072000
653124196409046918,13254762952,1423843200,1540915200
620000197708244236,13320189333,1447603200,1565020800
